"","Ref..No.","Location","Name","Accession.Number","event","value","DOY","year","gdd"
"609",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour","2014-03-26",85,2014,78.87
"610",44,"D6•","M. campbellii","1974-1054.01","First bud colour","2014-03-26",85,2014,78.87
"611",50,"D5•","M. campbellii","1978-0361.01","First bud colour","2014-03-30",89,2014,94.49
"612",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour","2014-04-02",92,2014,101.19
"613",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour","2014-03-19",78,2014,66.53
"614",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour","2014-03-26",85,2014,78.87
"615",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour","2014-03-30",89,2014,94.49
"616",71,"BC•","M. zenii","1986-0146.01","First bud colour","2014-03-26",85,2014,78.87
"617",73,"A2•","M. cylindrica","1982-0947.01","First bud colour","2014-03-26",85,2014,78.87
"618",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour","2014-04-02",92,2014,101.19
"619",76,"G6•","M. cylindrica","1992-0484.02","First bud colour","2014-04-16",106,2014,169.88
"620",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour","2014-03-16",75,2014,62.29
"621",81,"A6•","M. amoena","2001-0559.02","First bud colour","2014-03-26",85,2014,78.87
"622",83,"E8•","M. conifera","1998-0507.02","First bud colour","2014-05-19",139,2014,414.61
"623",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open","2014-03-29",88,2014,90.94
"624",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open","2014-03-30",89,2014,94.49
"625",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First flower fully open","2014-03-30",89,2014,94.49
"626",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First flower fully open","2014-03-30",89,2014,94.49
"627",14,"C7•","M. sargentiana","1988-0065.01","First flower fully open","2014-03-30",89,2014,94.49
"628",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open","2014-03-30",89,2014,94.49
"629",20,"C9•","M. stellata","1972-0218.01","First flower fully open","2014-04-13",103,2014,153.78
"630",22,"DB•","M. sprengeri","1980-0041.01","First flower fully open","2014-04-02",92,2014,101.19
"631",27,"H3•","M. campbellii","1982-0939.06","First flower fully open","2014-03-30",89,2014,94.49
"632",28,"H3•","M. campbellii","1983-0456.01","First flower fully open","2014-03-30",89,2014,94.49
"633",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First flower fully open","2014-04-02",92,2014,101.19
"634",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open","2014-03-30",89,2014,94.49
"635",38,"D2•","M. sargentiana","1982-1437.04","First flower fully open","2014-03-30",89,2014,94.49
"636",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open","2014-03-30",89,2014,94.49
"637",44,"D6•","M. campbellii","1974-1054.01","First flower fully open","2014-03-30",89,2014,94.49
"638",50,"D5•","M. campbellii","1978-0361.01","First flower fully open","2014-04-02",92,2014,101.19
"639",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open","2014-04-09",99,2014,135.43
"640",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open","2014-04-02",92,2014,101.19
"641",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open","2014-04-09",99,2014,135.43
"642",67,"E7•","M. campbellii","1979-0244.01","First flower fully open","2014-04-02",92,2014,101.19
"643",71,"BC•","M. zenii","1986-0146.01","First flower fully open","2014-04-02",92,2014,101.19
"644",73,"A2•","M. cylindrica","1982-0947.01","First flower fully open","2014-04-13",103,2014,153.78
"645",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open","2014-04-20",110,2014,189.48
"646",76,"G6•","M. cylindrica","1992-0484.02","First flower fully open","2014-04-16",106,2014,169.88
"647",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open","2014-03-26",85,2014,78.87
"648",81,"A6•","M. amoena","2001-0559.02","First flower fully open","2014-03-26",85,2014,78.87
"649",83,"E8•","M. conifera","1998-0507.02","First flower fully open","2014-06-15",166,2014,NA
"650",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom","2013-04-13",103,2013,159.22
"651",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Peak bloom","2014-03-30",89,2014,94.49
"652",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Peak bloom","2014-04-02",92,2014,101.19
"653",14,"C7•","M. sargentiana","1988-0065.01","Peak bloom","2014-04-02",92,2014,101.19
"654",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Peak bloom","2014-04-13",103,2014,153.78
"655",20,"C9•","M. stellata","1972-0218.01","Peak bloom","2014-04-20",110,2014,189.48
"656",22,"DB•","M. sprengeri","1980-0041.01","Peak bloom","2013-04-09",99,2013,146.97
"657",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Peak bloom","2014-04-09",99,2014,135.43
"658",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Peak bloom","2014-04-13",103,2014,153.78
"659",38,"D2•","M. sargentiana","1982-1437.04","Peak bloom","2014-03-30",89,2014,94.49
"660",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Peak bloom","2014-04-13",103,2014,153.78
"661",44,"D6•","M. campbellii","1974-1054.01","Peak bloom","2014-04-09",99,2014,135.43
"662",50,"D5•","M. campbellii","1978-0361.01","Peak bloom","2014-04-09",99,2014,135.43
"663",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Peak bloom","2014-04-13",103,2014,153.78
"664",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Peak bloom","2014-04-02",92,2014,101.19
"665",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Peak bloom","2014-04-09",99,2014,135.43
"666",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Peak bloom","2014-04-09",99,2014,135.43
"667",67,"E7•","M. campbellii","1979-0244.01","Peak bloom","2014-04-09",99,2014,135.43
"668",71,"BC•","M. zenii","1986-0146.01","Peak bloom","2014-04-09",99,2014,135.43
"669",73,"A2•","M. cylindrica","1982-0947.01","Peak bloom","2014-04-09",99,2014,135.43
"670",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Peak bloom","2014-04-20",110,2014,189.48
"671",76,"G6•","M. cylindrica","1992-0484.02","Peak bloom","2014-04-30",120,2014,244.13
"672",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Peak bloom","2014-03-30",89,2014,94.49
"673",81,"A6•","M. amoena","2001-0559.02","Peak bloom","2014-04-09",99,2014,135.43
"674",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First tepal drop","2014-04-01",91,2014,98.04
"675",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First tepal drop","2014-03-30",89,2014,94.49
"676",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First tepal drop","2014-03-30",89,2014,94.49
"677",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First tepal drop","2014-03-30",89,2014,94.49
"678",14,"C7•","M. sargentiana","1988-0065.01","First tepal drop","2014-03-30",89,2014,94.49
"679",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First tepal drop","2014-04-09",99,2014,135.43
"680",20,"C9•","M. stellata","1972-0218.01","First tepal drop","2014-04-20",110,2014,189.48
"681",22,"DB•","M. sprengeri","1980-0041.01","First tepal drop","2013-04-09",99,2013,146.97
"682",27,"H3•","M. campbellii","1982-0939.06","First tepal drop","2014-04-13",103,2014,153.78
"683",28,"H3•","M. campbellii","1983-0456.01","First tepal drop","2014-04-13",103,2014,153.78
"684",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First tepal drop","2014-04-09",99,2014,135.43
"685",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First tepal drop","2014-04-09",99,2014,135.43
"686",38,"D2•","M. sargentiana","1982-1437.04","First tepal drop","2014-03-30",89,2014,94.49
"687",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First tepal drop","2014-04-13",103,2014,153.78
"688",44,"D6•","M. campbellii","1974-1054.01","First tepal drop","2014-04-13",103,2014,153.78
"689",50,"D5•","M. campbellii","1978-0361.01","First tepal drop","2014-04-13",103,2014,153.78
"690",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop","2014-04-09",99,2014,135.43
"691",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop","2014-04-02",92,2014,101.19
"692",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop","2014-04-09",99,2014,135.43
"693",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop","2014-04-09",99,2014,135.43
"694",67,"E7•","M. campbellii","1979-0244.01","First tepal drop","2014-04-09",99,2014,135.43
"695",71,"BC•","M. zenii","1986-0146.01","First tepal drop","2014-04-09",99,2014,135.43
"696",73,"A2•","M. cylindrica","1982-0947.01","First tepal drop","2014-04-28",118,2014,227.93
"697",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop","2014-04-24",114,2014,211.63
"698",76,"G6•","M. cylindrica","1992-0484.02","First tepal drop","2014-04-27",117,2014,223.78
"699",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First tepal drop","2014-03-26",85,2014,78.87
"700",81,"A6•","M. amoena","2001-0559.02","First tepal drop","2014-03-30",89,2014,94.49
"701",83,"E8•","M. conifera","1998-0507.02","First tepal drop","2014-06-25",176,2014,NA
"702",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop","2014-05-07",127,2014,297.33
"703",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop","2014-04-23",113,2014,206.23
"704",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Last tepal drop","2014-04-30",120,2014,244.13
"705",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Last tepal drop","2014-04-30",120,2014,244.13
"706",14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop","2014-04-27",117,2014,223.78
"707",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop","2014-04-23",113,2014,206.23
"708",20,"C9•","M. stellata","1972-0218.01","Last tepal drop","2014-05-25",145,2014,476.16
"709",22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop","2014-05-07",127,2014,297.33
"710",27,"H3•","M. campbellii","1982-0939.06","Last tepal drop","2014-04-30",120,2014,244.13
"711",28,"H3•","M. campbellii","1983-0456.01","Last tepal drop","2014-05-04",124,2014,276.88
"712",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Last tepal drop","2014-04-20",110,2014,189.48
"713",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop","2014-05-11",131,2014,328.08
"714",38,"D2•","M. sargentiana","1982-1437.04","Last tepal drop","2014-04-20",110,2014,189.48
"715",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Last tepal drop","2014-05-14",134,2014,361.18
"716",44,"D6•","M. campbellii","1974-1054.01","Last tepal drop","2014-05-04",124,2014,276.88
"717",50,"D5•","M. campbellii","1978-0361.01","Last tepal drop","2014-04-27",117,2014,223.78
"718",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop","2014-05-07",127,2014,297.33
"719",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop","2014-04-24",114,2014,211.63
"720",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop","2014-05-07",127,2014,297.33
"721",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop","2014-04-20",110,2014,189.48
"722",67,"E7•","M. campbellii","1979-0244.01","Last tepal drop","2014-04-27",117,2014,223.78
"723",71,"BC•","M. zenii","1986-0146.01","Last tepal drop","2014-04-20",110,2014,189.48
"724",73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop","2014-05-14",134,2014,361.18
"725",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop","2014-05-04",124,2014,276.88
"726",76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop","2014-05-07",127,2014,297.33
"727",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop","2014-05-18",138,2014,404.66
"728",81,"A6•","M. amoena","2001-0559.02","Last tepal drop","2014-04-20",110,2014,189.48
"729",83,"E8•","M. conifera","1998-0507.02","Last tepal drop","2014-07-16",197,2014,NA
"730",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First green seen","2014-04-09",99,2014,135.43
"731",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First green seen","2014-04-08",98,2014,131.03
"732",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First green seen","2014-04-13",103,2014,153.78
"733",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First green seen","2014-04-13",103,2014,153.78
"734",14,"C7•","M. sargentiana","1988-0065.01","First green seen","2014-04-09",99,2014,135.43
"735",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First green seen","2014-04-13",103,2014,153.78
"736",20,"C9•","M. stellata","1972-0218.01","First green seen","2014-04-13",103,2014,153.78
"737",22,"DB•","M. sprengeri","1980-0041.01","First green seen","2013-04-09",99,2013,146.97
"738",27,"H3•","M. campbellii","1982-0939.06","First green seen","2014-04-13",103,2014,153.78
"739",28,"H3•","M. campbellii","1983-0456.01","First green seen","2014-04-13",103,2014,153.78
"740",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First green seen","2014-04-20",110,2014,189.48
"741",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First green seen","2014-04-13",103,2014,153.78
"742",38,"D2•","M. sargentiana","1982-1437.04","First green seen","2014-04-09",99,2014,135.43
"743",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First green seen","2014-04-13",103,2014,153.78
"744",44,"D6•","M. campbellii","1974-1054.01","First green seen","2014-04-09",99,2014,135.43
"745",50,"D5•","M. campbellii","1978-0361.01","First green seen","2014-04-13",103,2014,153.78
"746",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First green seen","2014-04-09",99,2014,135.43
"747",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First green seen","2014-04-09",99,2014,135.43
"748",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First green seen","2014-04-09",99,2014,135.43
"749",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First green seen","2014-04-16",106,2014,169.88
"750",67,"E7•","M. campbellii","1979-0244.01","First green seen","2014-04-13",103,2014,153.78
"751",71,"BC•","M. zenii","1986-0146.01","First green seen","2014-04-09",99,2014,135.43
"752",73,"A2•","M. cylindrica","1982-0947.01","First green seen","2014-04-09",99,2014,135.43
"753",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First green seen","2014-04-13",103,2014,153.78
"754",76,"G6•","M. cylindrica","1992-0484.02","First green seen","2014-04-13",103,2014,153.78
"755",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First green seen","2014-04-09",99,2014,135.43
"756",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First green seen","2014-04-20",110,2014,189.48
"757",81,"A6•","M. amoena","2001-0559.02","First green seen","2014-04-13",103,2014,153.78
"758",82,"B7•","M. maudiae","2002-0460.01","First green seen","2014-07-08",189,2014,NA
"759",83,"E8•","M. conifera","1998-0507.02","First green seen","2014-04-30",120,2014,244.13
"760",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour","2015-02-25",56,2015,110.51
"761",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour","2015-02-18",49,2015,103.76
"762",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First bud colour","2015-02-22",53,2015,109.86
"763",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First bud colour","2015-02-25",56,2015,110.51
"764",14,"C7•","M. sargentiana","1988-0065.01","First bud colour","2015-02-22",53,2015,109.86
"765",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour","2015-03-01",60,2015,113.6
"766",20,"C9•","M. stellata","1972-0218.01","First bud colour","2015-03-08",67,2015,116.48
"767",22,"DB•","M. sprengeri","1980-0041.01","First bud colour","2015-02-25",56,2015,110.51
"768",27,"H3•","M. campbellii","1982-0939.06","First bud colour","2015-02-18",49,2015,103.76
"769",28,"H3•","M. campbellii","1983-0456.01","First bud colour","2015-02-22",53,2015,109.86
"770",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First bud colour","2015-02-18",49,2015,103.76
"771",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour","2015-02-25",56,2015,110.51
"772",38,"D2•","M. sargentiana","1982-1437.04","First bud colour","2015-02-22",53,2015,109.86
"773",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour","2015-02-18",49,2015,103.76
"774",44,"D6•","M. campbellii","1974-1054.01","First bud colour","2015-02-18",49,2015,103.76
"775",50,"D5•","M. campbellii","1978-0361.01","First bud colour","2015-03-08",67,2015,116.48
"776",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour","2015-03-08",67,2015,116.48
"777",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour","2015-03-01",60,2015,113.6
"778",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour","2015-03-01",60,2015,113.6
"779",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour","2015-02-25",56,2015,110.51
"780",67,"E7•","M. campbellii","1979-0244.01","First bud colour","2015-03-08",67,2015,116.48
"781",71,"BC•","M. zenii","1986-0146.01","First bud colour","2015-02-25",56,2015,110.51
"782",73,"A2•","M. cylindrica","1982-0947.01","First bud colour","2015-03-04",63,2015,113.9
"783",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour","2015-03-08",67,2015,116.48
"784",76,"G6•","M. cylindrica","1992-0484.02","First bud colour","2015-03-11",70,2015,123.02
"785",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour","2015-02-22",53,2015,109.86
"786",81,"A6•","M. amoena","2001-0559.02","First bud colour","2015-02-25",56,2015,110.51
"787",82,"B7•","M. maudiae","2002-0460.01","First bud colour","2015-03-22",81,2015,171.61
"788",83,"E8•","M. conifera","1998-0507.02","First bud colour","2015-04-19",109,2015,287.89
"789",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open","2015-03-08",67,2015,116.48
"790",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open","2015-02-18",49,2015,103.76
"791",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First flower fully open","2015-02-22",53,2015,109.86
"792",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First flower fully open","2015-03-01",60,2015,113.6
"793",14,"C7•","M. sargentiana","1988-0065.01","First flower fully open","2015-03-01",60,2015,113.6
"794",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open","2015-03-08",67,2015,116.48
"795",20,"C9•","M. stellata","1972-0218.01","First flower fully open","2015-03-15",74,2015,143.67
"796",22,"DB•","M. sprengeri","1980-0041.01","First flower fully open","2015-03-08",67,2015,116.48
"797",27,"H3•","M. campbellii","1982-0939.06","First flower fully open","2015-02-22",53,2015,109.86
"798",28,"H3•","M. campbellii","1983-0456.01","First flower fully open","2015-03-01",60,2015,113.6
"799",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First flower fully open","2015-02-18",49,2015,103.76
"800",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open","2015-03-08",67,2015,116.48
"801",38,"D2•","M. sargentiana","1982-1437.04","First flower fully open","2015-03-01",60,2015,113.6
"802",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open","2015-03-08",67,2015,116.48
"803",44,"D6•","M. campbellii","1974-1054.01","First flower fully open","2015-02-18",49,2015,103.76
"804",50,"D5•","M. campbellii","1978-0361.01","First flower fully open","2015-03-08",67,2015,116.48
"805",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open","2015-03-11",70,2015,123.02
"806",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open","2015-03-04",63,2015,113.9
"807",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open","2015-03-08",67,2015,116.48
"808",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open","2015-03-08",67,2015,116.48
"809",67,"E7•","M. campbellii","1979-0244.01","First flower fully open","2015-03-08",67,2015,116.48
"810",71,"BC•","M. zenii","1986-0146.01","First flower fully open","2015-03-08",67,2015,116.48
"811",73,"A2•","M. cylindrica","1982-0947.01","First flower fully open","2015-03-18",77,2015,151.91
"812",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open","2015-03-22",81,2015,171.61
"813",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open","2015-02-22",53,2015,109.86
"814",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First flower fully open","2015-04-08",98,2015,246.16
"815",81,"A6•","M. amoena","2001-0559.02","First flower fully open","2015-03-01",60,2015,113.6
"816",82,"B7•","M. maudiae","2002-0460.01","First flower fully open","2015-03-25",84,2015,183.16
"817",83,"E8•","M. conifera","1998-0507.02","First flower fully open","2015-06-10",161,2015,NA
"818",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom","2015-03-18",77,2015,151.91
"819",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Peak bloom","2015-03-01",60,2015,113.6
"820",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Peak bloom","2015-03-04",63,2015,113.9
"821",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Peak bloom","2015-03-15",74,2015,143.67
"822",14,"C7•","M. sargentiana","1988-0065.01","Peak bloom","2015-03-11",70,2015,123.02
"823",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Peak bloom","2015-03-22",81,2015,171.61
"824",20,"C9•","M. stellata","1972-0218.01","Peak bloom","2015-03-22",81,2015,171.61
"825",22,"DB•","M. sprengeri","1980-0041.01","Peak bloom","2015-03-25",84,2015,183.16
"826",27,"H3•","M. campbellii","1982-0939.06","Peak bloom","2015-03-04",63,2015,113.9
"827",28,"H3•","M. campbellii","1983-0456.01","Peak bloom","2015-03-11",70,2015,123.02
"828",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Peak bloom","2015-03-11",70,2015,123.02
"829",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Peak bloom","2015-03-18",77,2015,151.91
"830",38,"D2•","M. sargentiana","1982-1437.04","Peak bloom","2015-03-04",63,2015,113.9
"831",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Peak bloom","2015-03-11",70,2015,123.02
"832",44,"D6•","M. campbellii","1974-1054.01","Peak bloom","2015-03-01",60,2015,113.6
"833",50,"D5•","M. campbellii","1978-0361.01","Peak bloom","2015-03-18",77,2015,151.91
"834",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Peak bloom","2015-03-22",81,2015,171.61
"835",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Peak bloom","2015-03-11",70,2015,123.02
"836",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Peak bloom","2015-03-18",77,2015,151.91
"837",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Peak bloom","2015-03-15",74,2015,143.67
"838",67,"E7•","M. campbellii","1979-0244.01","Peak bloom","2015-03-11",70,2015,123.02
"839",71,"BC•","M. zenii","1986-0146.01","Peak bloom","2015-03-11",70,2015,123.02
"840",73,"A2•","M. cylindrica","1982-0947.01","Peak bloom","2015-03-22",81,2015,171.61
"841",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Peak bloom","2015-03-29",88,2015,211.36
"842",76,"G6•","M. cylindrica","1992-0484.02","Peak bloom","2015-03-25",84,2015,183.16
"843",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Peak bloom","2015-03-04",63,2015,113.9
"844",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Peak bloom","2015-04-08",98,2015,246.16
"845",81,"A6•","M. amoena","2001-0559.02","Peak bloom","2015-03-11",70,2015,123.02
"846",82,"B7•","M. maudiae","2002-0460.01","Peak bloom","2015-04-01",91,2015,227.21
"847",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First tepal drop","2015-03-18",77,2015,151.91
"848",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First tepal drop","2015-03-04",63,2015,113.9
"849",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First tepal drop","2014-03-08",67,2014,42.34
"850",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First tepal drop","2015-03-15",74,2015,143.67
"851",14,"C7•","M. sargentiana","1988-0065.01","First tepal drop","2015-03-11",70,2015,123.02
"852",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First tepal drop","2015-03-15",74,2015,143.67
"853",20,"C9•","M. stellata","1972-0218.01","First tepal drop","2015-03-22",81,2015,171.61
"854",22,"DB•","M. sprengeri","1980-0041.01","First tepal drop","2015-03-15",74,2015,143.67
"855",27,"H3•","M. campbellii","1982-0939.06","First tepal drop","2015-03-08",67,2015,116.48
"856",28,"H3•","M. campbellii","1983-0456.01","First tepal drop","2015-03-01",60,2015,113.6
"857",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First tepal drop","2015-03-01",60,2015,113.6
"858",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First tepal drop","2015-05-05",125,2015,381.02
"859",38,"D2•","M. sargentiana","1982-1437.04","First tepal drop","2015-03-08",67,2015,116.48
"860",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First tepal drop","2015-03-11",70,2015,123.02
"861",44,"D6•","M. campbellii","1974-1054.01","First tepal drop","2015-03-08",67,2015,116.48
"862",50,"D5•","M. campbellii","1978-0361.01","First tepal drop","2015-03-18",77,2015,151.91
"863",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop","2015-03-15",74,2015,143.67
"864",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop","2015-03-22",81,2015,171.61
"865",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop","2015-03-15",74,2015,143.67
"866",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop","2015-03-15",74,2015,143.67
"867",67,"E7•","M. campbellii","1979-0244.01","First tepal drop","2015-03-18",77,2015,151.91
"868",71,"BC•","M. zenii","1986-0146.01","First tepal drop","2015-03-08",67,2015,116.48
"869",73,"A2•","M. cylindrica","1982-0947.01","First tepal drop","2015-03-29",88,2015,211.36
"870",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop","2015-03-29",88,2015,211.36
"871",76,"G6•","M. cylindrica","1992-0484.02","First tepal drop","2015-03-25",84,2015,183.16
