"","...1","Ref..No.","Location","Name","Accession.Number","event","value","DOY","year","gdd","spName","cultivarName"
"1211",1211,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop",2017-05-10,130,2017,294.64,"M. sprengeri","'Diva'"
"1212",1212,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop",2017-04-30,120,2017,230.31,"M. sargentiana","'Blood Moon'"
"1213",1213,6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Last tepal drop",2017-04-30,120,2017,230.31,"M. campbellii","'Borde Hill'"
"1214",1214,7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Last tepal drop",2017-04-30,120,2017,230.31,"M. campbellii","'Lanarth'"
"1215",1215,14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop",2017-05-10,130,2017,294.64,"M. sargentiana","botanical species"
"1216",1216,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop",2017-05-10,130,2017,294.64,"M. dawsoniana","'Chyverton Red'"
"1217",1217,20,"C9•","M. stellata","1972-0218.01","Last tepal drop",2017-05-31,151,2017,471.68,"M. stellata","botanical species"
"1218",1218,22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop",2017-05-10,130,2017,294.64,"M. sprengeri","botanical species"
"1219",1219,27,"H3•","M. campbellii","1982-0939.06","Last tepal drop",2017-04-30,120,2017,230.31,"M. campbellii","botanical species"
"1220",1220,28,"H3•","M. campbellii","1983-0456.01","Last tepal drop",2017-04-30,120,2017,230.31,"M. campbellii","botanical species"
"1221",1221,29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Last tepal drop",2017-05-10,130,2017,294.64,"M. campbellii (Alba Group)","'Ethel Hillier'"
"1222",1222,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop",2017-05-17,137,2017,333.24,"M. sprengeri","'Claret Cup'"
"1223",1223,38,"D2•","M. sargentiana","1982-1437.04","Last tepal drop",2017-04-26,116,2017,211.42,"M. sargentiana","botanical species"
"1224",1224,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Last tepal drop",2017-06-14,165,2017,NA,"M. denudata","'Forrest's Pink'"
"1225",1225,44,"D6•","M. campbellii","1974-1054.01","Last tepal drop",2017-05-10,130,2017,294.64,"M. campbellii","botanical species"
"1226",1226,50,"D5•","M. campbellii","1978-0361.01","Last tepal drop",2017-05-10,130,2017,294.64,"M. campbellii","botanical species"
"1227",1227,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop",2017-04-14,104,2017,144.98,"M. sprengeri","'Wakehurst'"
"1228",1228,54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop",2017-05-10,130,2017,294.64,"M. dawsoniana","'Barbara Cook'"
"1229",1229,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop",2017-05-10,130,2017,294.64,"M. dawsoniana","'Clarke'"
"1230",1230,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop",2017-04-30,120,2017,230.31,"M. sargentiana","'Chyverton Dark'"
"1231",1231,67,"E7•","M. campbellii","1979-0244.01","Last tepal drop",2017-04-30,120,2017,230.31,"M. campbellii","botanical species"
"1232",1232,71,"BC•","M. zenii","1986-0146.01","Last tepal drop",2017-04-30,120,2017,230.31,"M. zenii","botanical species"
"1233",1233,73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop",2017-05-21,141,2017,368.64,"M. cylindrica","botanical species"
"1234",1234,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop",2017-04-14,104,2017,144.98,"M. denudata","'Wada's Japanese Clone'"
"1235",1235,76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop",2017-04-14,104,2017,144.98,"M. cylindrica","botanical species"
"1236",1236,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop",2017-04-14,104,2017,144.98,"M. sprengeri","'Eric Savill'"
"1237",1237,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Last tepal drop",2017-05-28,148,2017,440.58,"M. cavaleriei var. platypetala","botanical species"
"1238",1238,82,"B7•","M. maudiae","2002-0460.01","Last tepal drop",2017-06-04,155,2017,NA,"M. maudiae","botanical species"
"1239",1239,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First green seen",2017-04-09,99,2017,124.93,"M. sprengeri","'Diva'"
"1240",1240,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First green seen",2017-04-12,102,2017,136.33,"M. sargentiana","'Blood Moon'"
"1241",1241,6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First green seen",2017-04-19,109,2017,170.72,"M. campbellii","'Borde Hill'"
"1242",1242,7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First green seen",2017-04-19,109,2017,170.72,"M. campbellii","'Lanarth'"
"1243",1243,14,"C7•","M. sargentiana","1988-0065.01","First green seen",2017-04-09,99,2017,124.93,"M. sargentiana","botanical species"
"1244",1244,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First green seen",2017-04-16,106,2017,152.57,"M. dawsoniana","'Chyverton Red'"
"1245",1245,20,"C9•","M. stellata","1972-0218.01","First green seen",2017-04-09,99,2017,124.93,"M. stellata","botanical species"
"1246",1246,22,"DB•","M. sprengeri","1980-0041.01","First green seen",2017-04-09,99,2017,124.93,"M. sprengeri","botanical species"
"1247",1247,27,"H3•","M. campbellii","1982-0939.06","First green seen",2017-04-16,106,2017,152.57,"M. campbellii","botanical species"
"1248",1248,28,"H3•","M. campbellii","1983-0456.01","First green seen",2017-04-16,106,2017,152.57,"M. campbellii","botanical species"
"1249",1249,29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First green seen",2017-04-19,109,2017,170.72,"M. campbellii (Alba Group)","'Ethel Hillier'"
"1250",1250,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First green seen",2017-04-23,113,2017,193.62,"M. sprengeri","'Claret Cup'"
"1251",1251,38,"D2•","M. sargentiana","1982-1437.04","First green seen",2017-04-09,99,2017,124.93,"M. sargentiana","botanical species"
"1252",1252,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First green seen",2017-04-09,99,2017,124.93,"M. denudata","'Forrest's Pink'"
"1253",1253,44,"D6•","M. campbellii","1974-1054.01","First green seen",2017-04-16,106,2017,152.57,"M. campbellii","botanical species"
"1254",1254,50,"D5•","M. campbellii","1978-0361.01","First green seen",2017-04-16,106,2017,152.57,"M. campbellii","botanical species"
"1255",1255,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First green seen",2017-04-05,95,2017,110.43,"M. sprengeri","'Wakehurst'"
"1256",1256,54,"F6•","M. 'Barbara Cook'","1981-0280.01","First green seen",2017-04-09,99,2017,124.93,"M. dawsoniana","'Barbara Cook'"
"1257",1257,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First green seen",2017-04-09,99,2017,124.93,"M. dawsoniana","'Clarke'"
"1258",1258,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First green seen",2017-04-23,113,2017,193.62,"M. sargentiana","'Chyverton Dark'"
"1259",1259,67,"E7•","M. campbellii","1979-0244.01","First green seen",2017-04-19,109,2017,170.72,"M. campbellii","botanical species"
"1260",1260,71,"BC•","M. zenii","1986-0146.01","First green seen",2017-04-26,116,2017,211.42,"M. zenii","botanical species"
"1261",1261,73,"A2•","M. cylindrica","1982-0947.01","First green seen",2017-04-09,99,2017,124.93,"M. cylindrica","botanical species"
"1262",1262,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First green seen",2017-04-30,120,2017,230.31,"M. denudata","'Wada's Japanese Clone'"
"1263",1263,76,"G6•","M. cylindrica","1992-0484.02","First green seen",2017-04-19,109,2017,170.72,"M. cylindrica","botanical species"
"1264",1264,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First green seen",2017-04-12,102,2017,136.33,"M. sprengeri","'Eric Savill'"
"1265",1265,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First green seen",2017-04-26,116,2017,211.42,"M. cavaleriei var. platypetala","botanical species"
"1266",1266,82,"B7•","M. maudiae","2002-0460.01","First green seen",2017-04-26,116,2017,211.42,"M. maudiae","botanical species"
"1267",1267,83,"E8•","M. conifera","1998-0507.02","First green seen",2017-04-26,116,2017,211.42,"M. conifera","botanical species"
"1268",1268,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour",2018-03-25,84,2018,77.58,"M. sprengeri","'Diva'"
"1269",1269,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour",2018-03-28,87,2018,87.68,"M. sargentiana","'Blood Moon'"
"1270",1270,14,"C7•","M. sargentiana","1988-0065.01","First bud colour",2018-03-25,84,2018,77.58,"M. sargentiana","botanical species"
"1271",1271,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour",2018-03-28,87,2018,87.68,"M. dawsoniana","'Chyverton Red'"
"1272",1272,22,"DB•","M. sprengeri","1980-0041.01","First bud colour",2018-03-28,87,2018,87.68,"M. sprengeri","botanical species"
"1273",1273,28,"H3•","M. campbellii","1983-0456.01","First bud colour",2018-04-10,100,2018,132.11,"M. campbellii","botanical species"
"1274",1274,29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First bud colour",2018-03-28,87,2018,87.68,"M. campbellii (Alba Group)","'Ethel Hillier'"
"1275",1275,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour",2018-03-28,87,2018,87.68,"M. sprengeri","'Claret Cup'"
"1276",1276,38,"D2•","M. sargentiana","1982-1437.04","First bud colour",2018-03-18,77,2018,69.78,"M. sargentiana","botanical species"
"1277",1277,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour",2018-03-18,77,2018,69.78,"M. denudata","'Forrest's Pink'"
"1278",1278,44,"D6•","M. campbellii","1974-1054.01","First bud colour",2018-03-28,87,2018,87.68,"M. campbellii","botanical species"
"1279",1279,50,"D5•","M. campbellii","1978-0361.01","First bud colour",2018-03-28,87,2018,87.68,"M. campbellii","botanical species"
"1280",1280,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour",2018-04-04,94,2018,101.92,"M. sprengeri","'Wakehurst'"
"1281",1281,54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour",2018-03-25,84,2018,77.58,"M. dawsoniana","'Barbara Cook'"
"1282",1282,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour",2018-03-28,87,2018,87.68,"M. dawsoniana","'Clarke'"
"1283",1283,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour",2018-03-28,87,2018,87.68,"M. sargentiana","'Chyverton Dark'"
"1284",1284,67,"E7•","M. campbellii","1979-0244.01","First bud colour",2018-03-28,87,2018,87.68,"M. campbellii","botanical species"
"1285",1285,71,"BC•","M. zenii","1986-0146.01","First bud colour",2018-03-21,80,2018,75.28,"M. zenii","botanical species"
"1286",1286,73,"A2•","M. cylindrica","1982-0947.01","First bud colour",2018-04-04,94,2018,101.92,"M. cylindrica","botanical species"
"1287",1287,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour",2018-04-15,105,2018,148.11,"M. denudata","'Wada's Japanese Clone'"
"1288",1288,76,"G6•","M. cylindrica","1992-0484.02","First bud colour",2018-04-11,101,2018,135.11,"M. cylindrica","botanical species"
"1289",1289,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour",2018-03-14,73,2018,66.73,"M. sprengeri","'Eric Savill'"
"1290",1290,82,"B7•","M. maudiae","2002-0460.01","First bud colour",2018-04-11,101,2018,135.11,"M. maudiae","botanical species"
"1291",1291,83,"E8•","M. conifera","1998-0507.02","First bud colour",2018-04-29,119,2018,216.62,"M. conifera","botanical species"
"1292",1292,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open",2018-03-28,87,2018,87.68,"M. sprengeri","'Diva'"
"1293",1293,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open",2018-04-01,91,2018,98.42,"M. sargentiana","'Blood Moon'"
"1294",1294,14,"C7•","M. sargentiana","1988-0065.01","First flower fully open",2018-04-01,91,2018,98.42,"M. sargentiana","botanical species"
"1295",1295,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open",2018-04-11,101,2018,135.11,"M. dawsoniana","'Chyverton Red'"
"1296",1296,22,"DB•","M. sprengeri","1980-0041.01","First flower fully open",2018-04-01,91,2018,98.42,"M. sprengeri","botanical species"
"1297",1297,27,"H3•","M. campbellii","1982-0939.06","First flower fully open",2018-04-08,98,2018,122.52,"M. campbellii","botanical species"
"1298",1298,29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First flower fully open",2018-04-18,108,2018,158.35,"M. campbellii (Alba Group)","'Ethel Hillier'"
"1299",1299,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open",2018-04-15,105,2018,148.11,"M. sprengeri","'Claret Cup'"
"1300",1300,38,"D2•","M. sargentiana","1982-1437.04","First flower fully open",2018-03-28,87,2018,87.68,"M. sargentiana","botanical species"
"1301",1301,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open",2018-03-28,87,2018,87.68,"M. denudata","'Forrest's Pink'"
"1302",1302,44,"D6•","M. campbellii","1974-1054.01","First flower fully open",2018-04-08,98,2018,122.52,"M. campbellii","botanical species"
"1303",1303,50,"D5•","M. campbellii","1978-0361.01","First flower fully open",2018-04-01,91,2018,98.42,"M. campbellii","botanical species"
"1304",1304,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open",2018-04-11,101,2018,135.11,"M. sprengeri","'Wakehurst'"
"1305",1305,54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open",2018-03-28,87,2018,87.68,"M. dawsoniana","'Barbara Cook'"
"1306",1306,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open",2018-04-08,98,2018,122.52,"M. dawsoniana","'Clarke'"
"1307",1307,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open",2018-04-08,98,2018,122.52,"M. sargentiana","'Chyverton Dark'"
"1308",1308,67,"E7•","M. campbellii","1979-0244.01","First flower fully open",2018-04-04,94,2018,101.92,"M. campbellii","botanical species"
"1309",1309,71,"BC•","M. zenii","1986-0146.01","First flower fully open",2018-04-18,108,2018,158.35,"M. zenii","botanical species"
"1310",1310,73,"A2•","M. cylindrica","1982-0947.01","First flower fully open",2018-04-11,101,2018,135.11,"M. cylindrica","botanical species"
"1311",1311,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open",2018-04-22,112,2018,174.19,"M. denudata","'Wada's Japanese Clone'"
"1312",1312,76,"G6•","M. cylindrica","1992-0484.02","First flower fully open",2018-04-18,108,2018,158.35,"M. cylindrica","botanical species"
"1313",1313,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open",2018-03-18,77,2018,69.78,"M. sprengeri","'Eric Savill'"
"1314",1314,82,"B7•","M. maudiae","2002-0460.01","First flower fully open",2018-04-11,101,2018,135.11,"M. maudiae","botanical species"
"1315",1315,83,"E8•","M. conifera","1998-0507.02","First flower fully open",2018-06-20,171,2018,NA,"M. conifera","botanical species"
"1316",1316,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom",2018-04-11,101,2018,135.11,"M. sprengeri","'Diva'"
"1317",1317,14,"C7•","M. sargentiana","1988-0065.01","Peak bloom",2018-04-08,98,2018,122.52,"M. sargentiana","botanical species"
"1318",1318,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Peak bloom",2018-04-15,105,2018,148.11,"M. dawsoniana","'Chyverton Red'"
"1319",1319,22,"DB•","M. sprengeri","1980-0041.01","Peak bloom",2018-04-15,105,2018,148.11,"M. sprengeri","botanical species"
"1320",1320,27,"H3•","M. campbellii","1982-0939.06","Peak bloom",2018-04-29,119,2018,216.62,"M. campbellii","botanical species"
"1321",1321,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Peak bloom",2018-04-18,108,2018,158.35,"M. sprengeri","'Claret Cup'"
"1322",1322,38,"D2•","M. sargentiana","1982-1437.04","Peak bloom",2018-04-11,101,2018,135.11,"M. sargentiana","botanical species"
"1323",1323,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Peak bloom",2018-04-15,105,2018,148.11,"M. denudata","'Forrest's Pink'"
"1324",1324,44,"D6•","M. campbellii","1974-1054.01","Peak bloom",2018-04-25,115,2018,190.43,"M. campbellii","botanical species"
"1325",1325,50,"D5•","M. campbellii","1978-0361.01","Peak bloom",2018-04-08,98,2018,122.52,"M. campbellii","botanical species"
"1326",1326,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Peak bloom",2018-04-18,108,2018,158.35,"M. sprengeri","'Wakehurst'"
"1327",1327,54,"F6•","M. 'Barbara Cook'","1981-0280.01","Peak bloom",2018-04-08,98,2018,122.52,"M. dawsoniana","'Barbara Cook'"
"1328",1328,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Peak bloom",2018-04-11,101,2018,135.11,"M. dawsoniana","'Clarke'"
"1329",1329,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Peak bloom",2018-04-15,105,2018,148.11,"M. sargentiana","'Chyverton Dark'"
"1330",1330,67,"E7•","M. campbellii","1979-0244.01","Peak bloom",2018-04-11,101,2018,135.11,"M. campbellii","botanical species"
"1331",1331,73,"A2•","M. cylindrica","1982-0947.01","Peak bloom",2018-04-18,108,2018,158.35,"M. cylindrica","botanical species"
"1332",1332,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Peak bloom",2018-04-25,115,2018,190.43,"M. denudata","'Wada's Japanese Clone'"
"1333",1333,76,"G6•","M. cylindrica","1992-0484.02","Peak bloom",2018-04-29,119,2018,216.62,"M. cylindrica","botanical species"
"1334",1334,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Peak bloom",2018-04-01,91,2018,98.42,"M. sprengeri","'Eric Savill'"
"1335",1335,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Peak bloom",2018-05-02,122,2018,235.76,"M. cavaleriei var. platypetala","botanical species"
"1336",1336,82,"B7•","M. maudiae","2002-0460.01","Peak bloom",2018-04-25,115,2018,190.43,"M. maudiae","botanical species"
"1337",1337,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First tepal drop",2018-04-11,101,2018,135.11,"M. sprengeri","'Diva'"
"1338",1338,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First tepal drop",2018-04-11,101,2018,135.11,"M. sargentiana","'Blood Moon'"
"1339",1339,14,"C7•","M. sargentiana","1988-0065.01","First tepal drop",2018-04-08,98,2018,122.52,"M. sargentiana","botanical species"
"1340",1340,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First tepal drop",2018-04-11,101,2018,135.11,"M. dawsoniana","'Chyverton Red'"
"1341",1341,22,"DB•","M. sprengeri","1980-0041.01","First tepal drop",2018-04-08,98,2018,122.52,"M. sprengeri","botanical species"
"1342",1342,27,"H3•","M. campbellii","1982-0939.06","First tepal drop",2018-05-07,127,2018,280.64,"M. campbellii","botanical species"
"1343",1343,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First tepal drop",2018-04-08,98,2018,122.52,"M. sprengeri","'Claret Cup'"
"1344",1344,38,"D2•","M. sargentiana","1982-1437.04","First tepal drop",2018-04-08,98,2018,122.52,"M. sargentiana","botanical species"
"1345",1345,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First tepal drop",2018-04-15,105,2018,148.11,"M. denudata","'Forrest's Pink'"
"1346",1346,44,"D6•","M. campbellii","1974-1054.01","First tepal drop",2018-04-18,108,2018,158.35,"M. campbellii","botanical species"
"1347",1347,50,"D5•","M. campbellii","1978-0361.01","First tepal drop",2018-04-08,98,2018,122.52,"M. campbellii","botanical species"
"1348",1348,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop",2018-04-15,105,2018,148.11,"M. sprengeri","'Wakehurst'"
"1349",1349,54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop",2018-04-08,98,2018,122.52,"M. dawsoniana","'Barbara Cook'"
"1350",1350,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop",2018-04-08,98,2018,122.52,"M. dawsoniana","'Clarke'"
"1351",1351,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop",2018-04-11,101,2018,135.11,"M. sargentiana","'Chyverton Dark'"
"1352",1352,67,"E7•","M. campbellii","1979-0244.01","First tepal drop",2018-04-08,98,2018,122.52,"M. campbellii","botanical species"
"1353",1353,71,"BC•","M. zenii","1986-0146.01","First tepal drop",2018-04-22,112,2018,174.19,"M. zenii","botanical species"
"1354",1354,73,"A2•","M. cylindrica","1982-0947.01","First tepal drop",2018-04-15,105,2018,148.11,"M. cylindrica","botanical species"
"1355",1355,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop",2018-04-29,119,2018,216.62,"M. denudata","'Wada's Japanese Clone'"
"1356",1356,76,"G6•","M. cylindrica","1992-0484.02","First tepal drop",2018-05-02,122,2018,235.76,"M. cylindrica","botanical species"
"1357",1357,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First tepal drop",2018-03-25,84,2018,77.58,"M. sprengeri","'Eric Savill'"
"1358",1358,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First tepal drop",2018-05-09,129,2018,299.29,"M. cavaleriei var. platypetala","botanical species"
"1359",1359,82,"B7•","M. maudiae","2002-0460.01","First tepal drop",2018-04-29,119,2018,216.62,"M. maudiae","botanical species"
"1360",1360,83,"E8•","M. conifera","1998-0507.02","First tepal drop",2018-06-27,178,2018,NA,"M. conifera","botanical species"
"1361",1361,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop",2018-05-09,129,2018,299.29,"M. sprengeri","'Diva'"
"1362",1362,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop",2018-05-09,129,2018,299.29,"M. sargentiana","'Blood Moon'"
"1363",1363,14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop",2018-05-02,122,2018,235.76,"M. sargentiana","botanical species"
"1364",1364,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop",2018-05-09,129,2018,299.29,"M. dawsoniana","'Chyverton Red'"
"1365",1365,22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop",2018-05-09,129,2018,299.29,"M. sprengeri","botanical species"
"1366",1366,27,"H3•","M. campbellii","1982-0939.06","Last tepal drop",2018-05-09,129,2018,299.29,"M. campbellii","botanical species"
"1367",1367,28,"H3•","M. campbellii","1983-0456.01","Last tepal drop",2018-05-09,129,2018,299.29,"M. campbellii","botanical species"
"1368",1368,29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Last tepal drop",2018-06-13,164,2018,NA,"M. campbellii (Alba Group)","'Ethel Hillier'"
"1369",1369,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop",2018-06-03,154,2018,NA,"M. sprengeri","'Claret Cup'"
"1370",1370,38,"D2•","M. sargentiana","1982-1437.04","Last tepal drop",2018-04-29,119,2018,216.62,"M. sargentiana","botanical species"
"1371",1371,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Last tepal drop",2018-06-27,178,2018,NA,"M. denudata","'Forrest's Pink'"
"1372",1372,44,"D6•","M. campbellii","1974-1054.01","Last tepal drop",2018-05-23,143,2018,446.22,"M. campbellii","botanical species"
"1373",1373,50,"D5•","M. campbellii","1978-0361.01","Last tepal drop",2018-05-07,127,2018,280.64,"M. campbellii","botanical species"
"1374",1374,53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop",2018-05-09,129,2018,299.29,"M. sprengeri","'Wakehurst'"
"1375",1375,54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop",2018-05-02,122,2018,235.76,"M. dawsoniana","'Barbara Cook'"
"1376",1376,63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop",2018-05-13,133,2018,334.69,"M. dawsoniana","'Clarke'"
"1377",1377,66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop",2018-04-22,112,2018,174.19,"M. sargentiana","'Chyverton Dark'"
"1378",1378,67,"E7•","M. campbellii","1979-0244.01","Last tepal drop",2018-04-29,119,2018,216.62,"M. campbellii","botanical species"
"1379",1379,71,"BC•","M. zenii","1986-0146.01","Last tepal drop",2018-04-29,119,2018,216.62,"M. zenii","botanical species"
"1380",1380,73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop",2018-05-23,143,2018,446.22,"M. cylindrica","botanical species"
"1381",1381,75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop",2018-05-09,129,2018,299.29,"M. denudata","'Wada's Japanese Clone'"
"1382",1382,76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop",2018-05-09,129,2018,299.29,"M. cylindrica","botanical species"
"1383",1383,78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop",2018-05-02,122,2018,235.76,"M. sprengeri","'Eric Savill'"
"1384",1384,79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Last tepal drop",2018-05-23,143,2018,446.22,"M. cavaleriei var. platypetala","botanical species"
"1385",1385,82,"B7•","M. maudiae","2002-0460.01","Last tepal drop",2018-06-27,178,2018,NA,"M. maudiae","botanical species"
"1386",1386,2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First green seen",2018-04-08,98,2018,122.52,"M. sprengeri","'Diva'"
"1387",1387,3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First green seen",2018-04-11,101,2018,135.11,"M. sargentiana","'Blood Moon'"
"1388",1388,6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First green seen",2018-04-25,115,2018,190.43,"M. campbellii","'Borde Hill'"
"1389",1389,7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First green seen",2018-04-29,119,2018,216.62,"M. campbellii","'Lanarth'"
"1390",1390,14,"C7•","M. sargentiana","1988-0065.01","First green seen",2018-04-08,98,2018,122.52,"M. sargentiana","botanical species"
"1391",1391,16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First green seen",2018-04-08,98,2018,122.52,"M. dawsoniana","'Chyverton Red'"
"1392",1392,22,"DB•","M. sprengeri","1980-0041.01","First green seen",2018-04-08,98,2018,122.52,"M. sprengeri","botanical species"
"1393",1393,27,"H3•","M. campbellii","1982-0939.06","First green seen",2018-04-25,115,2018,190.43,"M. campbellii","botanical species"
"1394",1394,28,"H3•","M. campbellii","1983-0456.01","First green seen",2018-04-18,108,2018,158.35,"M. campbellii","botanical species"
"1395",1395,34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First green seen",2018-04-15,105,2018,148.11,"M. sprengeri","'Claret Cup'"
"1396",1396,38,"D2•","M. sargentiana","1982-1437.04","First green seen",2018-04-08,98,2018,122.52,"M. sargentiana","botanical species"
"1397",1397,39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First green seen",2018-04-08,98,2018,122.52,"M. denudata","'Forrest's Pink'"
"1398",1398,44,"D6•","M. campbellii","1974-1054.01","First green seen",2018-04-15,105,2018,148.11,"M. campbellii","botanical species"
