"","Ref. No.","Location","Name","Accession Number","event","value","DOY","year"
"690",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop",2014-04-09,99,2014
"691",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop",2014-04-02,92,2014
"692",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop",2014-04-09,99,2014
"693",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop",2014-04-09,99,2014
"694",67,"E7•","M. campbellii","1979-0244.01","First tepal drop",2014-04-09,99,2014
"695",71,"BC•","M. zenii","1986-0146.01","First tepal drop",2014-04-09,99,2014
"696",73,"A2•","M. cylindrica","1982-0947.01","First tepal drop",2014-04-28,118,2014
"697",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop",2014-04-24,114,2014
"698",76,"G6•","M. cylindrica","1992-0484.02","First tepal drop",2014-04-27,117,2014
"699",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First tepal drop",2014-03-26,85,2014
"700",81,"A6•","M. amoena","2001-0559.02","First tepal drop",2014-03-30,89,2014
"701",83,"E8•","M. conifera","1998-0507.02","First tepal drop",2014-06-25,176,2014
"702",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop",2014-05-07,127,2014
"703",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop",2014-04-23,113,2014
"704",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Last tepal drop",2014-04-30,120,2014
"705",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Last tepal drop",2014-04-30,120,2014
"706",14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop",2014-04-27,117,2014
"707",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop",2014-04-23,113,2014
"708",20,"C9•","M. stellata","1972-0218.01","Last tepal drop",2014-05-25,145,2014
"709",22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop",2014-05-07,127,2014
"710",27,"H3•","M. campbellii","1982-0939.06","Last tepal drop",2014-04-30,120,2014
"711",28,"H3•","M. campbellii","1983-0456.01","Last tepal drop",2014-05-04,124,2014
"712",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Last tepal drop",2014-04-20,110,2014
"713",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop",2014-05-11,131,2014
"714",38,"D2•","M. sargentiana","1982-1437.04","Last tepal drop",2014-04-20,110,2014
"715",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Last tepal drop",2014-05-14,134,2014
"716",44,"D6•","M. campbellii","1974-1054.01","Last tepal drop",2014-05-04,124,2014
"717",50,"D5•","M. campbellii","1978-0361.01","Last tepal drop",2014-04-27,117,2014
"718",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop",2014-05-07,127,2014
"719",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop",2014-04-24,114,2014
"720",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop",2014-05-07,127,2014
"721",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop",2014-04-20,110,2014
"722",67,"E7•","M. campbellii","1979-0244.01","Last tepal drop",2014-04-27,117,2014
"723",71,"BC•","M. zenii","1986-0146.01","Last tepal drop",2014-04-20,110,2014
"724",73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop",2014-05-14,134,2014
"725",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop",2014-05-04,124,2014
"726",76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop",2014-05-07,127,2014
"727",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop",2014-05-18,138,2014
"728",81,"A6•","M. amoena","2001-0559.02","Last tepal drop",2014-04-20,110,2014
"729",83,"E8•","M. conifera","1998-0507.02","Last tepal drop",2014-07-16,197,2014
"730",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First green seen",2014-04-09,99,2014
"731",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First green seen",2014-04-08,98,2014
"732",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First green seen",2014-04-13,103,2014
"733",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First green seen",2014-04-13,103,2014
"734",14,"C7•","M. sargentiana","1988-0065.01","First green seen",2014-04-09,99,2014
"735",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First green seen",2014-04-13,103,2014
"736",20,"C9•","M. stellata","1972-0218.01","First green seen",2014-04-13,103,2014
"737",22,"DB•","M. sprengeri","1980-0041.01","First green seen",2013-04-09,99,2013
"738",27,"H3•","M. campbellii","1982-0939.06","First green seen",2014-04-13,103,2014
"739",28,"H3•","M. campbellii","1983-0456.01","First green seen",2014-04-13,103,2014
"740",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First green seen",2014-04-20,110,2014
"741",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First green seen",2014-04-13,103,2014
"742",38,"D2•","M. sargentiana","1982-1437.04","First green seen",2014-04-09,99,2014
"743",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First green seen",2014-04-13,103,2014
"744",44,"D6•","M. campbellii","1974-1054.01","First green seen",2014-04-09,99,2014
"745",50,"D5•","M. campbellii","1978-0361.01","First green seen",2014-04-13,103,2014
"746",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First green seen",2014-04-09,99,2014
"747",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First green seen",2014-04-09,99,2014
"748",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First green seen",2014-04-09,99,2014
"749",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First green seen",2014-04-16,106,2014
"750",67,"E7•","M. campbellii","1979-0244.01","First green seen",2014-04-13,103,2014
"751",71,"BC•","M. zenii","1986-0146.01","First green seen",2014-04-09,99,2014
"752",73,"A2•","M. cylindrica","1982-0947.01","First green seen",2014-04-09,99,2014
"753",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First green seen",2014-04-13,103,2014
"754",76,"G6•","M. cylindrica","1992-0484.02","First green seen",2014-04-13,103,2014
"755",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First green seen",2014-04-09,99,2014
"756",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First green seen",2014-04-20,110,2014
"757",81,"A6•","M. amoena","2001-0559.02","First green seen",2014-04-13,103,2014
"758",82,"B7•","M. maudiae","2002-0460.01","First green seen",2014-07-08,189,2014
"759",83,"E8•","M. conifera","1998-0507.02","First green seen",2014-04-30,120,2014
"760",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour",2015-02-25,56,2015
"761",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour",2015-02-18,49,2015
"762",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First bud colour",2015-02-22,53,2015
"763",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First bud colour",2015-02-25,56,2015
"764",14,"C7•","M. sargentiana","1988-0065.01","First bud colour",2015-02-22,53,2015
"765",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour",2015-03-01,60,2015
"766",20,"C9•","M. stellata","1972-0218.01","First bud colour",2015-03-08,67,2015
"767",22,"DB•","M. sprengeri","1980-0041.01","First bud colour",2015-02-25,56,2015
"768",27,"H3•","M. campbellii","1982-0939.06","First bud colour",2015-02-18,49,2015
"769",28,"H3•","M. campbellii","1983-0456.01","First bud colour",2015-02-22,53,2015
"770",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First bud colour",2015-02-18,49,2015
"771",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour",2015-02-25,56,2015
"772",38,"D2•","M. sargentiana","1982-1437.04","First bud colour",2015-02-22,53,2015
"773",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour",2015-02-18,49,2015
"774",44,"D6•","M. campbellii","1974-1054.01","First bud colour",2015-02-18,49,2015
"775",50,"D5•","M. campbellii","1978-0361.01","First bud colour",2015-03-08,67,2015
"776",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour",2015-03-08,67,2015
"777",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First bud colour",2015-03-01,60,2015
"778",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour",2015-03-01,60,2015
"779",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour",2015-02-25,56,2015
"780",67,"E7•","M. campbellii","1979-0244.01","First bud colour",2015-03-08,67,2015
"781",71,"BC•","M. zenii","1986-0146.01","First bud colour",2015-02-25,56,2015
"782",73,"A2•","M. cylindrica","1982-0947.01","First bud colour",2015-03-04,63,2015
"783",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour",2015-03-08,67,2015
"784",76,"G6•","M. cylindrica","1992-0484.02","First bud colour",2015-03-11,70,2015
"785",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour",2015-02-22,53,2015
"786",81,"A6•","M. amoena","2001-0559.02","First bud colour",2015-02-25,56,2015
"787",82,"B7•","M. maudiae","2002-0460.01","First bud colour",2015-03-22,81,2015
"788",83,"E8•","M. conifera","1998-0507.02","First bud colour",2015-04-19,109,2015
"789",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open",2015-03-08,67,2015
"790",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open",2015-02-18,49,2015
"791",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First flower fully open",2015-02-22,53,2015
"792",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First flower fully open",2015-03-01,60,2015
"793",14,"C7•","M. sargentiana","1988-0065.01","First flower fully open",2015-03-01,60,2015
"794",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open",2015-03-08,67,2015
"795",20,"C9•","M. stellata","1972-0218.01","First flower fully open",2015-03-15,74,2015
"796",22,"DB•","M. sprengeri","1980-0041.01","First flower fully open",2015-03-08,67,2015
"797",27,"H3•","M. campbellii","1982-0939.06","First flower fully open",2015-02-22,53,2015
"798",28,"H3•","M. campbellii","1983-0456.01","First flower fully open",2015-03-01,60,2015
"799",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First flower fully open",2015-02-18,49,2015
"800",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open",2015-03-08,67,2015
"801",38,"D2•","M. sargentiana","1982-1437.04","First flower fully open",2015-03-01,60,2015
"802",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open",2015-03-08,67,2015
"803",44,"D6•","M. campbellii","1974-1054.01","First flower fully open",2015-02-18,49,2015
"804",50,"D5•","M. campbellii","1978-0361.01","First flower fully open",2015-03-08,67,2015
"805",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First flower fully open",2015-03-11,70,2015
"806",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First flower fully open",2015-03-04,63,2015
"807",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First flower fully open",2015-03-08,67,2015
"808",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First flower fully open",2015-03-08,67,2015
"809",67,"E7•","M. campbellii","1979-0244.01","First flower fully open",2015-03-08,67,2015
"810",71,"BC•","M. zenii","1986-0146.01","First flower fully open",2015-03-08,67,2015
"811",73,"A2•","M. cylindrica","1982-0947.01","First flower fully open",2015-03-18,77,2015
"812",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First flower fully open",2015-03-22,81,2015
"813",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First flower fully open",2015-02-22,53,2015
"814",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First flower fully open",2015-04-08,98,2015
"815",81,"A6•","M. amoena","2001-0559.02","First flower fully open",2015-03-01,60,2015
"816",82,"B7•","M. maudiae","2002-0460.01","First flower fully open",2015-03-25,84,2015
"817",83,"E8•","M. conifera","1998-0507.02","First flower fully open",2015-06-10,161,2015
"818",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Peak bloom",2015-03-18,77,2015
"819",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Peak bloom",2015-03-01,60,2015
"820",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Peak bloom",2015-03-04,63,2015
"821",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Peak bloom",2015-03-15,74,2015
"822",14,"C7•","M. sargentiana","1988-0065.01","Peak bloom",2015-03-11,70,2015
"823",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Peak bloom",2015-03-22,81,2015
"824",20,"C9•","M. stellata","1972-0218.01","Peak bloom",2015-03-22,81,2015
"825",22,"DB•","M. sprengeri","1980-0041.01","Peak bloom",2015-03-25,84,2015
"826",27,"H3•","M. campbellii","1982-0939.06","Peak bloom",2015-03-04,63,2015
"827",28,"H3•","M. campbellii","1983-0456.01","Peak bloom",2015-03-11,70,2015
"828",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Peak bloom",2015-03-11,70,2015
"829",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Peak bloom",2015-03-18,77,2015
"830",38,"D2•","M. sargentiana","1982-1437.04","Peak bloom",2015-03-04,63,2015
"831",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Peak bloom",2015-03-11,70,2015
"832",44,"D6•","M. campbellii","1974-1054.01","Peak bloom",2015-03-01,60,2015
"833",50,"D5•","M. campbellii","1978-0361.01","Peak bloom",2015-03-18,77,2015
"834",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Peak bloom",2015-03-22,81,2015
"835",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Peak bloom",2015-03-11,70,2015
"836",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Peak bloom",2015-03-18,77,2015
"837",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Peak bloom",2015-03-15,74,2015
"838",67,"E7•","M. campbellii","1979-0244.01","Peak bloom",2015-03-11,70,2015
"839",71,"BC•","M. zenii","1986-0146.01","Peak bloom",2015-03-11,70,2015
"840",73,"A2•","M. cylindrica","1982-0947.01","Peak bloom",2015-03-22,81,2015
"841",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Peak bloom",2015-03-29,88,2015
"842",76,"G6•","M. cylindrica","1992-0484.02","Peak bloom",2015-03-25,84,2015
"843",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Peak bloom",2015-03-04,63,2015
"844",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Peak bloom",2015-04-08,98,2015
"845",81,"A6•","M. amoena","2001-0559.02","Peak bloom",2015-03-11,70,2015
"846",82,"B7•","M. maudiae","2002-0460.01","Peak bloom",2015-04-01,91,2015
"847",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First tepal drop",2015-03-18,77,2015
"848",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First tepal drop",2015-03-04,63,2015
"849",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First tepal drop",2014-03-08,67,2014
"850",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First tepal drop",2015-03-15,74,2015
"851",14,"C7•","M. sargentiana","1988-0065.01","First tepal drop",2015-03-11,70,2015
"852",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First tepal drop",2015-03-15,74,2015
"853",20,"C9•","M. stellata","1972-0218.01","First tepal drop",2015-03-22,81,2015
"854",22,"DB•","M. sprengeri","1980-0041.01","First tepal drop",2015-03-15,74,2015
"855",27,"H3•","M. campbellii","1982-0939.06","First tepal drop",2015-03-08,67,2015
"856",28,"H3•","M. campbellii","1983-0456.01","First tepal drop",2015-03-01,60,2015
"857",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First tepal drop",2015-03-01,60,2015
"858",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First tepal drop",2015-05-05,125,2015
"859",38,"D2•","M. sargentiana","1982-1437.04","First tepal drop",2015-03-08,67,2015
"860",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First tepal drop",2015-03-11,70,2015
"861",44,"D6•","M. campbellii","1974-1054.01","First tepal drop",2015-03-08,67,2015
"862",50,"D5•","M. campbellii","1978-0361.01","First tepal drop",2015-03-18,77,2015
"863",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First tepal drop",2015-03-15,74,2015
"864",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First tepal drop",2015-03-22,81,2015
"865",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First tepal drop",2015-03-15,74,2015
"866",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First tepal drop",2015-03-15,74,2015
"867",67,"E7•","M. campbellii","1979-0244.01","First tepal drop",2015-03-18,77,2015
"868",71,"BC•","M. zenii","1986-0146.01","First tepal drop",2015-03-08,67,2015
"869",73,"A2•","M. cylindrica","1982-0947.01","First tepal drop",2015-03-29,88,2015
"870",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First tepal drop",2015-03-29,88,2015
"871",76,"G6•","M. cylindrica","1992-0484.02","First tepal drop",2015-03-25,84,2015
"872",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First tepal drop",2015-03-08,67,2015
"873",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First tepal drop",2015-04-26,116,2015
"874",81,"A6•","M. amoena","2001-0559.02","First tepal drop",2015-03-08,67,2015
"875",82,"B7•","M. maudiae","2002-0460.01","First tepal drop",2015-04-15,105,2015
"876",83,"E8•","M. conifera","1998-0507.02","First tepal drop",2015-06-21,172,2015
"877",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","Last tepal drop",2015-04-26,116,2015
"878",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","Last tepal drop",2015-03-22,81,2015
"879",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","Last tepal drop",2015-03-29,88,2015
"880",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","Last tepal drop",2015-03-15,74,2015
"881",14,"C7•","M. sargentiana","1988-0065.01","Last tepal drop",2015-04-11,101,2015
"882",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","Last tepal drop",2015-04-22,112,2015
"883",20,"C9•","M. stellata","1972-0218.01","Last tepal drop",2015-05-06,126,2015
"884",22,"DB•","M. sprengeri","1980-0041.01","Last tepal drop",2015-05-06,126,2015
"885",27,"H3•","M. campbellii","1982-0939.06","Last tepal drop",2015-03-29,88,2015
"886",28,"H3•","M. campbellii","1983-0456.01","Last tepal drop",2015-04-01,91,2015
"887",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","Last tepal drop",2015-04-01,91,2015
"888",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","Last tepal drop",2015-05-03,123,2015
"889",38,"D2•","M. sargentiana","1982-1437.04","Last tepal drop",2015-03-29,88,2015
"890",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","Last tepal drop",2015-04-15,105,2015
"891",44,"D6•","M. campbellii","1974-1054.01","Last tepal drop",2015-04-08,98,2015
"892",50,"D5•","M. campbellii","1978-0361.01","Last tepal drop",2015-04-05,95,2015
"893",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","Last tepal drop",2015-04-28,118,2015
"894",54,"F6•","M. 'Barbara Cook'","1981-0280.01","Last tepal drop",2015-04-19,109,2015
"895",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","Last tepal drop",2015-04-29,119,2015
"896",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","Last tepal drop",2015-03-29,88,2015
"897",67,"E7•","M. campbellii","1979-0244.01","Last tepal drop",2015-03-29,88,2015
"898",71,"BC•","M. zenii","1986-0146.01","Last tepal drop",2015-03-29,88,2015
"899",73,"A2•","M. cylindrica","1982-0947.01","Last tepal drop",2015-05-10,130,2015
"900",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","Last tepal drop",2015-04-19,109,2015
"901",76,"G6•","M. cylindrica","1992-0484.02","Last tepal drop",2015-04-26,116,2015
"902",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","Last tepal drop",2015-04-15,105,2015
"903",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","Last tepal drop",2015-04-26,116,2015
"904",81,"A6•","M. amoena","2001-0559.02","Last tepal drop",2015-04-05,95,2015
"905",82,"B7•","M. maudiae","2002-0460.01","Last tepal drop",2015-05-10,130,2015
"906",83,"E8•","M. conifera","1998-0507.02","Last tepal drop",2015-07-15,196,2015
"907",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First green seen",2015-03-18,77,2015
"908",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First green seen",2015-03-11,70,2015
"909",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First green seen",2015-03-25,84,2015
"910",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First green seen",2015-03-29,88,2015
"911",14,"C7•","M. sargentiana","1988-0065.01","First green seen",2015-03-15,74,2015
"912",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First green seen",2015-03-18,77,2015
"913",20,"C9•","M. stellata","1972-0218.01","First green seen",2015-03-18,77,2015
"914",22,"DB•","M. sprengeri","1980-0041.01","First green seen",2015-03-18,77,2015
"915",27,"H3•","M. campbellii","1982-0939.06","First green seen",2015-03-18,77,2015
"916",28,"H3•","M. campbellii","1983-0456.01","First green seen",2015-03-18,77,2015
"917",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First green seen",2015-03-18,77,2015
"918",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First green seen",2015-04-22,112,2015
"919",38,"D2•","M. sargentiana","1982-1437.04","First green seen",2015-03-18,77,2015
"920",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First green seen",2015-03-08,67,2015
"921",44,"D6•","M. campbellii","1974-1054.01","First green seen",2015-03-18,77,2015
"922",50,"D5•","M. campbellii","1978-0361.01","First green seen",2015-03-18,77,2015
"923",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First green seen",2015-03-18,77,2015
"924",54,"F6•","M. 'Barbara Cook'","1981-0280.01","First green seen",2015-03-18,77,2015
"925",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First green seen",2015-03-18,77,2015
"926",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First green seen",2015-03-25,84,2015
"927",67,"E7•","M. campbellii","1979-0244.01","First green seen",2015-03-25,84,2015
"928",71,"BC•","M. zenii","1986-0146.01","First green seen",2015-03-18,77,2015
"929",73,"A2•","M. cylindrica","1982-0947.01","First green seen",2015-03-18,77,2015
"930",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First green seen",2015-03-18,77,2015
"931",76,"G6•","M. cylindrica","1992-0484.02","First green seen",2015-03-22,81,2015
"932",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First green seen",2015-03-08,67,2015
"933",81,"A6•","M. amoena","2001-0559.02","First green seen",2015-03-18,77,2015
"934",83,"E8•","M. conifera","1998-0507.02","First green seen",2015-03-11,70,2015
"935",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First bud colour",2016-03-06,66,2016
"936",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First bud colour",2016-02-28,59,2016
"937",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First bud colour",2016-03-02,62,2016
"938",14,"C7•","M. sargentiana","1988-0065.01","First bud colour",2016-03-02,62,2016
"939",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First bud colour",2016-03-13,73,2016
"940",20,"C9•","M. stellata","1972-0218.01","First bud colour",2016-03-13,73,2016
"941",22,"DB•","M. sprengeri","1980-0041.01","First bud colour",2016-03-13,73,2016
"942",27,"H3•","M. campbellii","1982-0939.06","First bud colour",2016-02-28,59,2016
"943",28,"H3•","M. campbellii","1983-0456.01","First bud colour",2016-03-06,66,2016
"944",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First bud colour",2016-03-06,66,2016
"945",38,"D2•","M. sargentiana","1982-1437.04","First bud colour",2016-02-28,59,2016
"946",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First bud colour",2016-03-06,66,2016
"947",44,"D6•","M. campbellii","1974-1054.01","First bud colour",2016-03-02,62,2016
"948",50,"D5•","M. campbellii","1978-0361.01","First bud colour",2016-03-06,66,2016
"949",53,"H7•","M. sprengeri 'Wakehurst'","1982-0952.01","First bud colour",2016-03-13,73,2016
"950",63,"EB•","M. dawsoniana 'Clarke'","1979-0245.01","First bud colour",2016-03-06,66,2016
"951",66,"F2•","M. sargentiana 'Chyverton Dark'","1986-0225.01","First bud colour",2016-03-06,66,2016
"952",67,"E7•","M. campbellii","1979-0244.01","First bud colour",2016-03-06,66,2016
"953",71,"BC•","M. zenii","1986-0146.01","First bud colour",2016-03-02,62,2016
"954",73,"A2•","M. cylindrica","1982-0947.01","First bud colour",2016-03-09,69,2016
"955",75,"G6•","M. denudata 'Wada's Japanese Clone'","1992-0414.01","First bud colour",2016-03-13,73,2016
"956",76,"G6•","M. cylindrica","1992-0484.02","First bud colour",2016-03-16,76,2016
"957",78,"A6•","M. sprengeri 'Eric Savill'","1989-0617.01","First bud colour",2016-03-02,62,2016
"958",79,"F7•","M. cavaleriei var. platypetala","1996-0784.03","First bud colour",2016-03-30,90,2016
"959",82,"B7•","M. maudiae","2002-0460.01","First bud colour",2016-03-06,66,2016
"960",83,"E8•","M. conifera","1998-0507.02","First bud colour",2016-04-06,97,2016
"961",2,"AC•","M. sprengeri 'Diva'","1982-0954.03","First flower fully open",2016-03-16,76,2016
"962",3,"A5•","M. sargentiana 'Blood Moon'","1986-0338.01","First flower fully open",2016-03-02,62,2016
"963",6,"AL•","M. campbellii 'Borde Hill'","1982-0946.03","First flower fully open",2016-03-06,66,2016
"964",7,"AE•","M. campbellii 'Lanarth'","1984-0567.01","First flower fully open",2016-03-06,66,2016
"965",14,"C7•","M. sargentiana","1988-0065.01","First flower fully open",2016-03-09,69,2016
"966",16,"B4•","M. dawsoniana 'Chyverton Red'","1978-0362.01","First flower fully open",2016-03-16,76,2016
"967",20,"C9•","M. stellata","1972-0218.01","First flower fully open",2016-03-23,83,2016
"968",22,"DB•","M. sprengeri","1980-0041.01","First flower fully open",2016-03-16,76,2016
"969",27,"H3•","M. campbellii","1982-0939.06","First flower fully open",2016-03-02,62,2016
"970",28,"H3•","M. campbellii","1983-0456.01","First flower fully open",2016-03-13,73,2016
"971",29,"H3•","M. campbellii (Alba Group) 'Ethel Hillier'","1983-0457.01","First flower fully open",2016-03-06,66,2016
"972",34,"D2•","M. sprengeri 'Claret Cup'","1982-0953.01","First flower fully open",2016-03-16,76,2016
"973",38,"D2•","M. sargentiana","1982-1437.04","First flower fully open",2016-03-02,62,2016
"974",39,"CA•","M. denudata 'Forrest's Pink'","1982-0949.01","First flower fully open",2016-03-10,70,2016
"975",44,"D6•","M. campbellii","1974-1054.01","First flower fully open",2016-03-06,66,2016
